Paris Saint Germain
Olympique Lionnais
Monaco
Olympique Marseille
Lille
Saint-Étienne
Bordeaux
Rennes
Nantes
Chelsea
Tottenham Hotspur
Manchester City
Liverpool FC
Arsenal FC
Manchester United
Everton FC
Southampton FC
West Bromwich
West Ham United
Leicester City
Stoke City
Barcelona
Atlético
Valencia
R. Madrid
Villarreal
Sevilla
Celta
Eibar
Getafe
Girona
Betis
Athletic
Espanyol
R. Sociedad
Málaga
Bayern Múnich
Bayer 04 Leverkusen
Schalke1
Borussia Dortmund
Eintracht Frankfurt
Augsburgo
Wolfsburgo
VfB Stuttgart
Werder Bremen
Nápoles
Juventus
Lazio
Inter Milán
Roma
Milan
Atalanta
Udinese
Torino
Fiorentina
Bolonia
